DATE,INDPROINDMISMEI
2010-01-01,85.80334
2010-02-01,86.7054
2010-03-01,86.6475
2010-04-01,88.02976
2010-05-01,85.5834
2010-06-01,85.47383
2010-07-01,88.68886
2010-08-01,88.03306
2010-09-01,88.79897
2010-10-01,91.13898
2010-11-01,89.53669
2010-12-01,91.17019
2011-01-01,92.23947
2011-02-01,92.42698
2011-03-01,94.70483
2011-04-01,92.84566
2011-05-01,90.50412
2011-06-01,93.74711
2011-07-01,92.08945
2011-08-01,90.64955
2011-09-01,91.04017
2011-10-01,86.54274
2011-11-01,95.13275
2011-12-01,93.92416
2012-01-01,92.9523
2012-02-01,93.06204
2012-03-01,92.26727
2012-04-01,90.60534
2012-05-01,92.74928
2012-06-01,91.55138
2012-07-01,90.9651
2012-08-01,91.21331
2012-09-01,89.84103
2012-10-01,92.14184
2012-11-01,91.12928
2012-12-01,91.37257
2013-01-01,91.36618
2013-02-01,91.15114
2013-03-01,92.90253
2013-04-01,93.64129
2013-05-01,93.18452
2013-06-01,90.84338
2013-07-01,93.66383
2013-08-01,95.03808
2013-09-01,95.51048
2013-10-01,93.93129
2013-11-01,94.50271
2013-12-01,94.74145
2014-01-01,95.96628
2014-02-01,96.02834
2014-03-01,95.87386
2014-04-01,97.41208
2014-05-01,97.28342
2014-06-01,98.17392
2014-07-01,98.97353
2014-08-01,98.13538
2014-09-01,98.95578
2014-10-01,94.47784
2014-11-01,101.3627
2014-12-01,98.68978
2015-01-01,98.09304
2015-02-01,98.86512
2015-03-01,98.18272
2015-04-01,98.11169
2015-05-01,98.91391
2015-06-01,98.98512
2015-07-01,100.4515
2015-08-01,101.4292
2015-09-01,100.7934
2015-10-01,103.4218
2015-11-01,101.6274
2015-12-01,102.1344
2016-01-01,102.458
2016-02-01,102.1779
2016-03-01,103.0305
2016-04-01,104.2878
2016-05-01,105.6433
2016-06-01,107.0064
2016-07-01,105.6908
2016-08-01,104.8896
2016-09-01,105.7285
2016-10-01,108.2415
2016-11-01,106.2647
2016-12-01,104.8987
2017-01-01,105.7581
2017-02-01,107.0553
2017-03-01,107.4443
2017-04-01,108.0137
2017-05-01,108.2729
2017-06-01,106.7035
2017-07-01,106.9109
2017-08-01,110.0302
2017-09-01,110.5556
2017-10-01,110.0814
2017-11-01,115.104
2017-12-01,112.7984
2018-01-01,113.2417
2018-02-01,114.3817
2018-03-01,113.1409
2018-04-01,112.7216
2018-05-01,112.4851
2018-06-01,114.7806
2018-07-01,113.5731
2018-08-01,115.3802
2018-09-01,116.2728
2018-10-01,119.1606
2018-11-01,115.2904
2018-12-01,115.4519
2019-01-01,114.727
2019-02-01,114.4899
2019-03-01,116.2688
2019-04-01,116.1259
2019-05-01,117.8522
2019-06-01,116.7972
2019-07-01,118.5474
2019-08-01,114.0543
2019-09-01,111.0008
2019-10-01,111.2068
2019-11-01,117.9999
2019-12-01,115.4566
2020-01-01,117.0925
2020-02-01,116.4763
2020-03-01,94.19592
2020-04-01,49.61062
2020-05-01,79.07681
2020-06-01,97.29153
2020-07-01,105.6832
2020-08-01,106.1583
2020-09-01,112.1846
2020-10-01,116.3681
2020-11-01,116.1108
2020-12-01,117.4653
2021-01-01,116.7576
2021-02-01,116.609
2021-03-01,116.7046
2021-04-01,115.8919
2021-05-01,101.1032
2021-06-01,110.9549
2021-07-01,117.8436
2021-08-01,119.6326
2021-09-01,117.3245
2021-10-01,121.3427
2021-11-01,116.9877
2021-12-01,118.5863
2022-01-01,119.0099
2022-02-01,117.9887
2022-03-01,119.2456
2022-04-01,123.8863
2022-05-01,120.8571
2022-06-01,125.1665
2022-07-01,120.5761
2022-08-01,118.4695
2022-09-01,121.3596
2022-10-01,116.3506
2022-11-01,125.8132
2022-12-01,124.9108
2023-01-01,125.6181
2023-02-01,123.88038114370794
2023-03-01,123.68567580896523
2023-04-01,130.44654673075408
2023-05-01,129.3727634331778
2023-06-01,129.58699683245385
2023-07-01,124.834517577304
2023-08-01,126.95005105293505
2023-09-01,128.0766954351221
2023-10-01,119.91215147023674
2023-11-01,132.21095230551379
2023-12-01,128.74951450513282
2024-01-01,129.47274226486073
2024-02-01,129.4350839579362
2024-03-01,123.900195639875
2024-04-01,131.16421710707178
2024-05-01,133.09278014046652
2024-06-01,132.14548184210025
2024-07-01,130.61247656368587
2024-08-01,129.72257904015822
2024-09-01,129.58209943217068
2024-10-01,128.22361947266796
2024-11-01,136.90238840382753
2024-12-01,134.07337955671758
2025-01-01,130.9623308613363
2025-02-01,133.2032428431703
2025-03-01,129.13107007678866
2025-04-01,133.3914023617974
2025-05-01,139.41654522118296
2025-06-01,135.84386733393768
2025-07-01,135.07499876506034
2025-08-01,133.35038353048625
2025-09-01,139.56582532707907
2025-10-01,133.3179509914
2025-11-01,139.48242089168275
2025-12-01,141.64194226304343
2026-01-01,133.00313349544044
2026-02-01,139.08779872022743
2026-03-01,129.23522687797805
2026-04-01,135.18368646307056
2026-05-01,145.54212129788718
2026-06-01,143.28394514976407
