Date,Current_Quadrant,3M_Forecast_Quad,3M_Conviction,3M_Real_Date,3M_Real_Quad,3M_Hit,6M_Forecast_Quad,6M_Conviction,6M_Real_Date,6M_Real_Quad,6M_Hit,9M_Forecast_Quad,9M_Conviction,9M_Real_Date,9M_Real_Quad,9M_Hit
2007-01-01,Expansion,Expansion,69.9,2007-04-01,Expansion,True,Expansion,42.9,2007-07-01,Expansion,True,Expansion,33.9,2007-10-01,Slowdown,False
2007-02-01,Expansion,Expansion,69.1,2007-05-01,Expansion,True,Expansion,42.1,2007-08-01,Expansion,True,Expansion,33.1,2007-11-01,Slowdown,False
2007-03-01,Expansion,Expansion,68.3,2007-06-01,Expansion,True,Expansion,41.3,2007-09-01,Expansion,True,Expansion,32.3,2007-12-01,Slowdown,False
2007-04-01,Expansion,Expansion,67.7,2007-07-01,Expansion,True,Expansion,40.7,2007-10-01,Slowdown,False,Expansion,31.7,2008-01-01,Slowdown,False
2007-05-01,Expansion,Expansion,67.5,2007-08-01,Expansion,True,Expansion,40.5,2007-11-01,Slowdown,False,Expansion,31.5,2008-02-01,Slowdown,False
2007-06-01,Expansion,Expansion,67.8,2007-09-01,Expansion,True,Expansion,40.8,2007-12-01,Slowdown,False,Expansion,31.8,2008-03-01,Slowdown,False
2007-07-01,Expansion,Expansion,68.6,2007-10-01,Slowdown,False,Expansion,41.6,2008-01-01,Slowdown,False,Slowdown,32.6,2008-04-01,Slowdown,True
2007-08-01,Expansion,Expansion,51.7,2007-11-01,Slowdown,False,Slowdown,42.7,2008-02-01,Slowdown,True,Slowdown,33.7,2008-05-01,Contraction,False
2007-09-01,Expansion,Slowdown,53.0,2007-12-01,Slowdown,True,Slowdown,44.0,2008-03-01,Slowdown,True,Slowdown,35.0,2008-06-01,Contraction,False
2007-10-01,Slowdown,Slowdown,71.7,2008-01-01,Slowdown,True,Slowdown,62.7,2008-04-01,Slowdown,True,Slowdown,53.7,2008-07-01,Contraction,False
2007-11-01,Slowdown,Slowdown,71.1,2008-02-01,Slowdown,True,Slowdown,62.1,2008-05-01,Contraction,False,Slowdown,53.1,2008-08-01,Contraction,False
2007-12-01,Slowdown,Slowdown,69.7,2008-03-01,Slowdown,True,Slowdown,60.7,2008-06-01,Contraction,False,Slowdown,51.7,2008-09-01,Contraction,False
2008-01-01,Slowdown,Slowdown,67.9,2008-04-01,Slowdown,True,Slowdown,58.9,2008-07-01,Contraction,False,Slowdown,49.9,2008-10-01,Contraction,False
2008-02-01,Slowdown,Slowdown,66.8,2008-05-01,Contraction,False,Slowdown,57.8,2008-08-01,Contraction,False,Contraction,30.8,2008-11-01,Contraction,True
2008-03-01,Slowdown,Slowdown,66.5,2008-06-01,Contraction,False,Contraction,39.5,2008-09-01,Contraction,True,Contraction,30.5,2008-12-01,Recovery,False
2008-04-01,Slowdown,Contraction,48.7,2008-07-01,Contraction,True,Contraction,39.7,2008-10-01,Contraction,True,Contraction,30.7,2009-01-01,Recovery,False
2008-05-01,Contraction,Contraction,66.0,2008-08-01,Contraction,True,Contraction,57.0,2008-11-01,Contraction,True,Contraction,48.0,2009-02-01,Recovery,False
2008-06-01,Contraction,Contraction,66.0,2008-09-01,Contraction,True,Contraction,57.0,2008-12-01,Recovery,False,Contraction,48.0,2009-03-01,Recovery,False
2008-07-01,Contraction,Contraction,66.0,2008-10-01,Contraction,True,Contraction,57.0,2009-01-01,Recovery,False,Contraction,48.0,2009-04-01,Recovery,False
2008-08-01,Contraction,Contraction,66.0,2008-11-01,Contraction,True,Contraction,57.0,2009-02-01,Recovery,False,Recovery,30.0,2009-05-01,Expansion,False
2008-09-01,Contraction,Contraction,66.0,2008-12-01,Recovery,False,Recovery,39.0,2009-03-01,Recovery,True,Recovery,30.0,2009-06-01,Expansion,False
2008-10-01,Contraction,Recovery,48.0,2009-01-01,Recovery,True,Recovery,39.0,2009-04-01,Recovery,True,Recovery,30.0,2009-07-01,Expansion,False
2008-11-01,Contraction,Recovery,48.0,2009-02-01,Recovery,True,Recovery,39.0,2009-05-01,Expansion,False,Recovery,30.0,2009-08-01,Expansion,False
2008-12-01,Recovery,Recovery,67.9,2009-03-01,Recovery,True,Recovery,58.9,2009-06-01,Expansion,False,Recovery,31.9,2009-09-01,Expansion,False
2009-01-01,Recovery,Recovery,69.5,2009-04-01,Recovery,True,Recovery,60.5,2009-07-01,Expansion,False,Recovery,33.5,2009-10-01,Expansion,False
2009-02-01,Recovery,Recovery,70.6,2009-05-01,Expansion,False,Recovery,61.6,2009-08-01,Expansion,False,Expansion,34.6,2009-11-01,Expansion,True
2009-03-01,Recovery,Expansion,52.7,2009-06-01,Expansion,True,Expansion,43.7,2009-09-01,Expansion,True,Expansion,34.7,2009-12-01,Expansion,True
2009-04-01,Recovery,Expansion,53.8,2009-07-01,Expansion,True,Expansion,44.8,2009-10-01,Expansion,True,Expansion,35.8,2010-01-01,Expansion,True
2009-05-01,Expansion,Expansion,70.5,2009-08-01,Expansion,True,Expansion,61.5,2009-11-01,Expansion,True,Expansion,52.5,2010-02-01,Expansion,True
2009-06-01,Expansion,Expansion,71.1,2009-09-01,Expansion,True,Expansion,62.1,2009-12-01,Expansion,True,Expansion,53.1,2010-03-01,Expansion,True
2009-07-01,Expansion,Expansion,71.4,2009-10-01,Expansion,True,Expansion,62.4,2010-01-01,Expansion,True,Expansion,53.4,2010-04-01,Expansion,True
2009-08-01,Expansion,Expansion,71.6,2009-11-01,Expansion,True,Expansion,62.6,2010-02-01,Expansion,True,Expansion,53.6,2010-05-01,Slowdown,False
2009-09-01,Expansion,Expansion,71.9,2009-12-01,Expansion,True,Expansion,62.9,2010-03-01,Expansion,True,Expansion,53.9,2010-06-01,Slowdown,False
2009-10-01,Expansion,Expansion,72.3,2010-01-01,Expansion,True,Expansion,63.3,2010-04-01,Expansion,True,Expansion,54.3,2010-07-01,Slowdown,False
